name;mass
Kepler-187 c;-1
Kepler-188 b;-1
Kepler-188 c;-1
Kepler-189 b;-1
Kepler-189 c;-1
Kepler-19 b;0.064
Kepler-190 b;-1
Kepler-190 c;-1
Kepler-191 b;-1
Kepler-191 c;-1
Kepler-192 b;-1
Kepler-192 c;-1
Kepler-193 b;-1
Kepler-193 c;-1
Kepler-194 b;-1
Kepler-194 c;-1
Kepler-194 d;-1
Kepler-195 b;-1
Kepler-195 c;-1
Kepler-196 b;-1
Kepler-196 c;-1
Kepler-197 b;-1
Kepler-197 c;-1
Kepler-197 d;-1
Kepler-197 e;-1
Kepler-198 b;-1
Kepler-198 c;-1
Kepler-199 b;-1
Kepler-199 c;-1
Kepler-20 b;0.02658654
Kepler-20 c;0.0493974766
Kepler-20 d;0.06
Kepler-20 e;0.0097
Kepler-20 f;0.045
Kepler-200 b;-1
Kepler-200 c;-1
Kepler-201 b;-1
Kepler-201 c;-1
Kepler-202 b;-1
Kepler-202 c;-1
Kepler-203 b;-1
Kepler-203 c;-1
Kepler-203 d;-1
Kepler-204 b;-1
Kepler-204 c;-1
Kepler-205 b;-1
Kepler-205 c;-1
Kepler-206 b;-1
Kepler-206 c;-1
Kepler-206 d;-1
Kepler-207 b;-1
Kepler-207 c;-1
Kepler-207 d;-1
Kepler-208 b;-1
Kepler-208 c;-1
Kepler-208 d;-1
Kepler-208 e;-1
Kepler-209 b;-1
Kepler-209 c;-1
Kepler-21 b;0.033
Kepler-210 b;-1
Kepler-210 c;-1
Kepler-211 b;-1
Kepler-211 c;-1
Kepler-212 b;-1
Kepler-212 c;-1
Kepler-213 b;-1
Kepler-213 c;-1
Kepler-214 b;-1
Kepler-214 c;-1
Kepler-215 b;-1
Kepler-215 c;-1
Kepler-215 d;-1
Kepler-215 e;-1
Kepler-216 b;-1
Kepler-216 c;-1
Kepler-217 b;-1
Kepler-217 c;-1
Kepler-218 b;-1
Kepler-218 c;-1
Kepler-219 b;-1
Kepler-219 c;-1
Kepler-219 d;-1
Kepler-22 b;0.11
Kepler-220 b;-1
Kepler-220 c;-1
Kepler-220 d;-1
Kepler-220 e;-1
Kepler-221 b;-1
Kepler-221 c;-1
Kepler-221 d;-1
Kepler-221 e;-1
Kepler-222 b;-1
Kepler-222 c;-1
Kepler-222 d;-1
Kepler-223 b;-1
Kepler-223 c;-1
Kepler-223 d;-1
Kepler-223 e;-1
Kepler-224 b;-1
Kepler-224 c;-1
Kepler-224 d;-1
Kepler-224 e;-1
Kepler-225 b;-1
Kepler-225 c;-1
Kepler-226 b;-1
Kepler-226 c;-1
Kepler-226 d;-1
Kepler-227 b;-1
Kepler-227 c;-1
Kepler-228 b;-1
Kepler-228 c;-1
Kepler-228 d;-1
Kepler-229 b;-1
Kepler-229 c;-1
Kepler-229 d;-1
Kepler-23 b;0.8
Kepler-23 c;2.7
Kepler-230 b;-1
Kepler-230 c;-1
Kepler-231 b;-1
Kepler-231 c;-1
Kepler-232 b;-1
Kepler-232 c;-1
Kepler-233 b;-1
Kepler-233 c;-1
Kepler-234 b;-1
Kepler-234 c;-1
Kepler-235 b;-1
Kepler-235 c;-1
Kepler-235 d;-1
Kepler-235 e;-1
Kepler-236 b;-1
Kepler-236 c;-1
Kepler-237 b;-1
Kepler-237 c;-1
Kepler-238 b;-1
Kepler-238 c;-1
Kepler-238 d;-1
Kepler-238 e;0.626
Kepler-238 f;0.056
Kepler-239 b;-1
Kepler-239 c;-1
Kepler-24 b;1.6
Kepler-24 c;1.6
Kepler-240 b;-1
Kepler-240 c;-1
Kepler-241 b;-1
Kepler-241 c;-1
Kepler-242 b;-1
Kepler-242 c;-1
Kepler-243 b;-1
Kepler-243 c;-1
Kepler-244 b;-1
Kepler-244 c;-1
Kepler-244 d;-1
Kepler-245 b;-1
Kepler-245 c;-1
Kepler-245 d;-1
Kepler-246 b;-1
Kepler-246 c;-1
Kepler-247 b;-1
Kepler-247 c;-1
Kepler-247 d;-1
Kepler-248 b;-1
Kepler-248 c;-1
Kepler-249 b;-1
Kepler-249 c;-1
Kepler-249 d;-1
Kepler-25 b;0.0302048265
Kepler-25 c;0.0773998679
Kepler-25 d;0.2828556146
Kepler-250 b;-1
Kepler-250 c;-1
Kepler-250 d;-1
Kepler-251 b;-1
Kepler-251 c;-1
Kepler-251 d;-1
Kepler-251 e;-1
Kepler-252 b;-1
Kepler-252 c;-1
Kepler-253 b;-1
Kepler-253 c;-1
Kepler-253 d;-1
Kepler-254 b;-1
Kepler-254 c;-1
Kepler-254 d;-1
Kepler-255 b;-1
Kepler-255 c;-1
Kepler-256 b;-1
Kepler-256 c;-1
Kepler-256 d;-1
Kepler-256 e;-1
Kepler-257 b;-1
Kepler-257 c;-1
Kepler-257 d;-1
Kepler-258 b;-1
Kepler-258 c;-1
Kepler-259 b;-1
Kepler-259 c;-1
Kepler-26 b;0.38
Kepler-26 c;0.375
Kepler-26 e;-1
Kepler-260 b;-1
Kepler-260 c;-1
Kepler-261 b;-1
Kepler-261 c;-1
Kepler-262 b;-1
Kepler-262 c;-1
Kepler-263 b;-1
Kepler-263 c;-1
Kepler-264 b;-1
Kepler-264 c;-1
Kepler-265 b;-1
Kepler-265 c;-1
Kepler-265 d;-1
Kepler-265 e;-1
Kepler-266 b;-1
Kepler-266 c;-1
Kepler-267 b;-1
Kepler-267 c;-1
Kepler-267 d;-1
Kepler-268 b;-1
Kepler-268 c;-1
Kepler-269 b;-1
Kepler-269 c;-1
Kepler-27 b;9.11
Kepler-27 c;13.8
Kepler-270 b;-1
Kepler-270 c;-1
Kepler-271 b;-1
Kepler-271 c;-1
Kepler-272 b;-1
Kepler-272 c;-1
Kepler-272 d;-1
Kepler-273 b;-1
Kepler-273 c;-1
Kepler-274 b;-1
Kepler-274 c;-1
Kepler-275 b;-1
Kepler-275 c;-1
Kepler-275 d;-1
Kepler-276 b;-1
Kepler-276 c;0.045
Kepler-276 d;0.044
Kepler-277 b;0.28
Kepler-277 c;0.21
Kepler-278 b;-1
Kepler-278 c;-1
Kepler-279 b;-1
Kepler-279 c;0.171
Kepler-279 d;0.13
Kepler-28 b;1.51
Kepler-28 c;1.36
Kepler-280 b;-1
Kepler-280 c;-1
Kepler-281 b;-1
Kepler-281 c;-1
Kepler-282 b;-1
Kepler-282 c;-1
Kepler-282 d;0.204
Kepler-282 e;0.192
Kepler-283 b;-1
Kepler-283 c;-1
Kepler-284 b;-1
Kepler-284 c;-1
Kepler-285 b;-1
Kepler-285 c;-1
Kepler-286 b;-1
Kepler-286 c;-1
Kepler-286 d;-1
Kepler-286 e;-1
Kepler-287 b;-1
Kepler-287 c;-1
Kepler-288 b;-1
Kepler-288 c;-1
Kepler-288 d;-1
Kepler-289 b;-1
Kepler-289 c;-1
Kepler-29 b;0.4
Kepler-29 c;0.3
Kepler-290 b;-1
Kepler-290 c;-1
Kepler-291 b;-1
Kepler-291 c;-1
Kepler-292 b;-1
Kepler-292 c;-1
Kepler-292 d;-1
Kepler-292 e;-1
Kepler-292 f;-1
Kepler-293 b;-1
Kepler-293 c;-1
Kepler-294 b;-1
Kepler-294 c;-1
Kepler-295 b;-1
Kepler-295 c;-1
Kepler-295 d;-1
Kepler-296 b;-1
Kepler-296 c;-1
Kepler-296 d;-1
Kepler-296 e;-1
Kepler-296 f;-1
Kepler-297 b;-1
Kepler-297 c;-1
Kepler-298 b;-1
Kepler-298 c;-1
Kepler-298 d;-1
Kepler-299 b;-1
Kepler-299 c;-1
Kepler-299 d;-1
Kepler-299 e;-1
Kepler-30 b;0.036
Kepler-30 c;2.01
Kepler-30 d;0.073
Kepler-300 b;-1
Kepler-300 c;-1
Kepler-301 b;-1
Kepler-301 c;-1
Kepler-301 d;-1
Kepler-302 b;-1
Kepler-302 c;-1
Kepler-303 b;-1
Kepler-303 c;-1
Kepler-304 b;-1
Kepler-304 c;-1
Kepler-304 d;-1
Kepler-305 b;0.0356
Kepler-305 c;0.0192
Kepler-305 d;-1
Kepler-306 b;-1
Kepler-306 c;-1
Kepler-306 d;-1
Kepler-306 e;-1
Kepler-307 b;0.0079
Kepler-307 c;0.0038
Kepler-308 b;-1
Kepler-308 c;-1
Kepler-309 b;-1
Kepler-309 c;-1
Kepler-31 b;-1
Kepler-31 c;4.7
Kepler-31 d;-1
Kepler-310 b;-1
Kepler-310 c;-1
Kepler-310 d;-1
Kepler-311 b;-1
Kepler-311 c;-1
Kepler-312 b;-1
Kepler-312 c;-1
Kepler-313 b;-1
Kepler-313 c;-1
Kepler-314 b;-1
Kepler-314 c;-1
Kepler-315 b;-1
Kepler-315 c;-1
Kepler-316 b;-1
Kepler-316 c;-1
Kepler-317 b;-1
Kepler-317 c;-1
Kepler-318 b;-1
Kepler-318 c;-1
Kepler-319 b;-1
Kepler-319 c;-1
Kepler-319 d;-1
Kepler-32 b;4.1
Kepler-32 c;0.5
Kepler-320 b;-1
Kepler-320 c;-1
Kepler-321 b;-1
Kepler-321 c;-1
Kepler-322 b;-1
Kepler-322 c;-1
Kepler-323 b;-1
Kepler-323 c;-1
Kepler-324 b;-1
Kepler-324 c;-1
Kepler-325 b;-1
Kepler-325 c;-1
Kepler-325 d;-1
Kepler-326 b;-1
Kepler-326 c;-1
Kepler-326 d;-1
Kepler-327 b;-1
Kepler-327 c;-1
Kepler-327 d;-1
Kepler-328 b;0.069
Kepler-328 c;0.1
Kepler-329 b;-1
Kepler-329 c;-1
Kepler-33 b;-1
Kepler-33 c;-1
Kepler-33 d;-1
Kepler-33 e;-1
Kepler-33 f;-1
Kepler-330 b;-1
Kepler-330 c;-1
Kepler-331 b;-1
Kepler-331 c;-1
Kepler-331 d;-1
Kepler-332 b;-1
Kepler-332 c;-1
Kepler-332 d;-1
Kepler-333 b;-1
Kepler-333 c;-1
Kepler-334 b;-1
Kepler-334 c;-1
Kepler-334 d;-1
Kepler-335 b;-1
Kepler-335 c;-1
Kepler-336 b;-1
Kepler-336 c;-1
Kepler-336 d;-1
Kepler-337 b;-1
Kepler-337 c;-1
Kepler-338 b;-1
Kepler-338 c;-1
Kepler-338 d;-1
Kepler-339 b;-1
Kepler-339 c;-1
Kepler-339 d;-1
Kepler-34(AB)  b;0.2199288928
Kepler-340 b;-1
Kepler-340 c;-1
Kepler-341 b;-1
Kepler-341 c;-1
Kepler-341 d;-1
Kepler-341 e;-1
Kepler-342 b;-1
Kepler-342 c;-1
Kepler-342 d;-1
Kepler-343 b;-1
Kepler-343 c;-1
Kepler-344 b;-1
Kepler-344 c;-1
Kepler-345 b;-1
Kepler-345 c;-1
Kepler-346 b;-1
Kepler-346 c;-1
Kepler-347 b;-1
Kepler-347 c;-1
Kepler-348 b;-1
Kepler-348 c;-1
Kepler-349 b;-1
Kepler-349 c;-1
Kepler-35(AB) b;0.1267973445
Kepler-350 b;-1
Kepler-350 c;0.0176
Kepler-350 d;0.048
Kepler-351 b;-1
Kepler-351 c;-1
Kepler-352 b;-1
Kepler-352 c;-1
Kepler-353 b;-1
Kepler-353 c;-1
Kepler-354 b;-1
Kepler-354 c;-1
Kepler-354 d;-1
Kepler-355 b;-1
Kepler-355 c;-1
Kepler-356 b;-1
Kepler-356 c;-1
Kepler-357 b;-1
Kepler-357 c;-1
Kepler-357 d;-1
Kepler-358 b;-1
Kepler-358 c;-1
Kepler-359 b;-1
Kepler-359 c;-1
Kepler-359 d;-1
Kepler-36 b;0.014032659
Kepler-36 c;0.0254149
Kepler-360 b;-1
Kepler-360 c;-1
Kepler-361 b;-1
Kepler-361 c;-1
Kepler-362 b;-1
Kepler-362 c;-1
Kepler-363 b;-1
Kepler-363 c;-1
Kepler-363 d;-1
Kepler-364 b;-1
Kepler-364 c;-1
Kepler-365 b;-1
Kepler-365 c;-1
Kepler-366 b;-1
Kepler-366 c;-1
Kepler-367 b;-1
Kepler-367 c;-1
Kepler-368 b;-1
Kepler-368 c;-1
Kepler-369 b;-1
Kepler-369 c;-1
Kepler-37 b;0.0087468143
Kepler-37 c;0.0314633609
Kepler-37 d;0.0383853003
Kepler-370 b;-1
Kepler-370 c;-1
Kepler-371 b;-1
Kepler-371 c;-1
Kepler-372 b;-1
Kepler-372 c;-1
Kepler-372 d;-1
Kepler-373 b;-1
Kepler-373 c;-1
Kepler-374 b;-1
Kepler-374 c;-1
Kepler-374 d;-1
Kepler-375 b;-1
Kepler-375 c;-1
Kepler-376 b;-1
Kepler-376 c;-1
Kepler-377 b;-1
Kepler-377 c;-1
Kepler-378 b;-1
Kepler-378 c;-1
Kepler-379 b;-1
Kepler-379 c;-1
Kepler-38(AB) b;0.38
Kepler-380 b;-1
Kepler-380 c;-1
Kepler-381 b;-1
Kepler-381 c;-1
Kepler-382 b;-1
Kepler-382 c;-1
Kepler-383 b;-1
Kepler-383 c;-1
Kepler-384 b;-1
Kepler-384 c;-1
Kepler-385 b;-1
Kepler-385 c;-1
Kepler-386 b;-1
Kepler-386 c;-1
Kepler-387 b;-1
Kepler-387 c;-1
Kepler-388 b;-1
Kepler-388 c;-1
Kepler-389 b;-1
Kepler-389 c;-1
Kepler-39 b;18
Kepler-390 b;-1
Kepler-390 c;-1
Kepler-391 b;-1
Kepler-391 c;-1
Kepler-392 b;-1
Kepler-392 c;-1
Kepler-393 b;-1
Kepler-393 c;-1
Kepler-394 b;-1
Kepler-394 c;-1
Kepler-395 b;-1
Kepler-395 c;-1
Kepler-396 b;0.22
Kepler-396 c;0.053
Kepler-397 b;-1
Kepler-397 c;-1
Kepler-398 b;-1
Kepler-398 c;-1
Kepler-399 b;-1
Kepler-399 c;-1
Kepler-399 d;-1
Kepler-4 b;0.0824340056
Kepler-40 b;2.2
Kepler-400 b;-1
Kepler-400 c;-1
Kepler-401 b;-1
Kepler-401 c;-1
Kepler-402 b;-1
Kepler-402 c;-1
Kepler-402 d;-1
Kepler-402 e;-1
Kepler-403 b;-1
Kepler-403 c;-1
Kepler-404 b;-1
Kepler-404 c;-1
Kepler-405 b;-1
Kepler-405 c;-1
Kepler-406 b;0.02
Kepler-406 c;0.00853
Kepler-41  b;0.49
Kepler-410A b;-1
Kepler-412 b;0.939
Kepler-413(AB) b;0.2108045181
Kepler-418 b;1.1
Kepler-419 b;2.5
Kepler-419 c;7.3
Kepler-42 b;0.009
Kepler-42 c;0.006
Kepler-42 d;0.003
Kepler-421 b;-1
Kepler-422 b;0.43
Kepler-423 b;0.595
Kepler-424 b;1.03
Kepler-424 c;6.97
Kepler-43 b;3.23
Kepler-432 b;5.41
Kepler-436 b;-1
Kepler-437 b;-1
Kepler-438 b;-1
Kepler-439 b;-1
Kepler-44 b;1.02
Kepler-440 b;-1
Kepler-441 b;-1
Kepler-442 b;-1
Kepler-443 b;-1
Kepler-444 b;-1
Kepler-444 c;-1
Kepler-444 d;-1
Kepler-444 e;-1
Kepler-444 f;-1
Kepler-445 b;0.02
Kepler-445 c;0.027
Kepler-445 d;0.011
Kepler-446 b;0.014
Kepler-446 c;0.009
Kepler-446 d;0.01
Kepler-447 b;1.37
Kepler-45 b;0.505
Kepler-452 b;-1
Kepler-46 b;6
Kepler-46 c;0.376
Kepler-47(AB) b;-1
Kepler-47(AB) c;-1
Kepler-48 b;0.0123965642
Kepler-48 c;0.0459679703
Kepler-48 d;0.0249504452
Kepler-48 e;2.0671428122
Kepler-49 b;-1
Kepler-49 c;-1
Kepler-49 d;-1
Kepler-49 e;-1
Kepler-5 b;2.114
Kepler-50 b;0.1
Kepler-50 c;0.11
Kepler-51 b;0.0066073058
Kepler-51 c;0.0125853444
Kepler-52 b;8.7
Kepler-52 c;10.41
Kepler-52 d;-1
Kepler-53 b;18.41
Kepler-53 c;15.75
Kepler-53 d;-1
Kepler-54 b;-1
Kepler-54 c;-1
Kepler-54 d;-1
Kepler-55 b;-1
Kepler-55 c;-1
Kepler-55 d;-1
Kepler-55 e;-1
Kepler-55 f;-1
Kepler-56 b;0.07
Kepler-56 c;0.569
Kepler-56 d;3.3
Kepler-57 b;18.86
Kepler-57 c;6.95
Kepler-58 b;1.39
Kepler-58 c;2.19
Kepler-58 d;-1
Kepler-59 b;2.05
Kepler-59 c;1.37
Kepler-6 b;0.669
Kepler-60 b;0.01
Kepler-60 c;0.02
Kepler-60 d;0.011
Kepler-61 b;-1
Kepler-62 b;0.028
Kepler-62 c;0.0126
Kepler-62 d;0.044
Kepler-62 e;0.113
Kepler-62 f;0.11
Kepler-63 b;-1
Kepler-65 b;-1
Kepler-65 c;0.0849510745
Kepler-65 d;0.0062926722
Kepler-66 b;0.31
Kepler-67 b;0.31
Kepler-68 b;0.0238806909
Kepler-68 c;0.015
Kepler-68 d;0.947
Kepler-69 b;-1
Kepler-69 c;-1
Kepler-7 b;0.433
Kepler-70  b;0.014
Kepler-70 c;0.0021
Kepler-71 b;-1
Kepler-74 b;0.68
Kepler-75 b;9.9
Kepler-76 b;1.96
Kepler-77 b;0.43
Kepler-78 b;0.005317308
Kepler-79 b;0.034285
Kepler-79 c;0.018558
Kepler-79 d;0.018872
Kepler-79 e;0.0129
Kepler-8 b;0.603
Kepler-80 b;-1
Kepler-80 c;-1
Kepler-80 d;-1
Kepler-80 e;-1
Kepler-80 f;-1
Kepler-81 b;-1
Kepler-81 c;-1
Kepler-81 d;-1
Kepler-82 b;-1
Kepler-82 c;-1
Kepler-82 d;-1
Kepler-82 e;-1
Kepler-83 b;-1
Kepler-83 c;-1
Kepler-83 d;-1
Kepler-84 b;-1
Kepler-84 c;-1
Kepler-84 d;-1
Kepler-84 e;-1
Kepler-84 f;-1
Kepler-85 b;0.0465
Kepler-85 c;0.059
Kepler-85 d;-1
Kepler-85 e;-1
Kepler-86 b;-1
Kepler-87 b;1.02
Kepler-87 c;0.0201
Kepler-88 b;0.027373124
Kepler-88 c;0.625491615
Kepler-89 b;0.033
Kepler-89 c;0.049
Kepler-89 d;0.164
Kepler-89 e;0.041
Kepler-9 b;0.1418997577
Kepler-9 c;0.0975364188
Kepler-9 d;0.0165182645
Kepler-90 b;-1
Kepler-90 c;-1
Kepler-90 d;-1
Kepler-90 e;-1
Kepler-90 f;-1
Kepler-90 g;-1
Kepler-90 h;-1
Kepler-91 b;0.73
Kepler-92 b;0.189
Kepler-92 c;0.0179
Kepler-93 b;0.0126
LKCA 15 b;6
MOA-2007-BLG-192-L b;0.01
MOA-2007-BLG-197L b;41
MOA-2007-BLG-400-L b;0.9
MOA-2008-BLG-310-L b;0.23
MOA-2008-BLG-379L b;4.1
MOA-2009-BLG-266L b;0.0327
MOA-2009-BLG-319 b;0.157
MOA-2009-BLG-387L b;2.6
MOA-2010-BLG-328L b;0.029
MOA-2010-BLG-353L b;0.27
MOA-2010-BLG-477L b;1.5
MOA-2011-BLG-262L b;0.0566340496
MOA-2011-BLG-274 b;0.8
MOA-2011-BLG-293L b;4.8
MOA-2011-BLG-322L b;7.8
MOA-2013-BLG-220L b;0.1887801655
MOA-bin-1 b;3.7
NGC 2423 3 b;10.6
NGC 4349 No 127 b;19.8
NLTT 41135;33.7
NN Ser (ab) c;6.91
NN Ser (ab) d;2.28
NY Vir b;2.78
NY Vir c;4.49
OGL-2008-BLG-355L b;4.6
OGLE-05-071L b;3.5
OGLE-05-169L b;0.0444
OGLE-05-390L b;0.017
OGLE-06-109L b;0.727
OGLE-06-109L c;0.271
OGLE-2007-BLG-368L b;0.0694
OGLE-2008-BLG-092L b;0.137
OGLE-2009-BLG-151 MOA-2009-232 b;7.5
OGLE-2011-BLG-0251 b;0.96
OGLE-2011-BLG-0265L b;0.88
OGLE-2011-BLG-0420 b;9.4
OGLE-2012-BLG-0026L b;0.11
OGLE-2012-BLG-0026L c;0.68
OGLE-2012-BLG-0358L b;1.85
OGLE-2012-BLG-0406L b;2.73
OGLE-2012-BLG-0563L b;0.39
OGLE-2013-BLG-0102L b;13.6
OGLE-2013-BLG-0341L b;0.0052229179
OGLE-2013-BLG-0723LB b;0.0022
OGLE-2014-BLG-0124L b;0.5
OGLE-2015-BLG-0966 b;0.066
OGLE-TR-10 b;0.68
OGLE-TR-111 b;0.54
OGLE-TR-113 b;1.24
OGLE-TR-132 b;1.17
OGLE-TR-182 b;1.06
OGLE-TR-211 b;0.75
OGLE-TR-56 b;1.3
OGLE2-TR-L9 b;4.34
OGLE235-MOA53 b;2.6
OY Car b;8.48
Oph 11 b;21
PH1-Kepler-64 b;0.53
POTS-1 b;2.31
PSR 1257 12 b;0.00007
PSR 1257 12 c;0.013
PSR 1257 12 d;0.012
PSR 1719-14 b;1
PSR B1620-26 b;2.5
PSR B1957+20 b;22
PSR J1807-2459 A b;9.4
PSR J2051-0827 b;28.3
PSR J2241-5236 b;12
PZ Tel b;62
Pr0201 c;0.54
Pr0211 b;1.844
Qatar-1 b;1.09
Qatar-2 b;2.487
ROXs 12 b;16
ROXs 42B b;9
RR Cae b;4.2
Ross 458(AB) c;11.3
SAND364 b;1.54
SR 12 AB c;13
SWEEPS-04 ;3.8
SWEEPS-11 ;9.7
TWA 5 A(AB) b;25
TYC+1422-614-1 b;2.51
TYC+1422-614-1 c;10.1
TrES-1 ;0.761
TrES-2 ;1.253
TrES-3 ;1.91
TrES-4 ;0.917
TrES-5 ;1.778
USco1602-2401 b;47
USco1610-1913 b;20
USco1612-1800 b;26
UScoCTIO 108 b;14
UZ For(ab) d;7.7
V391 Peg b;3.2
VHS 1256-1257 b;11.2
WASP-1 b;0.86
WASP-10 b;3.16
WASP-100 b;2.03
WASP-101 b;0.5
WASP-103 b;1.49
WASP-104 b;1.272
WASP-106 b;1.925
WASP-108 b;1.167
WASP-109 b;0.91
WASP-11-HAT-P-10 b;0.46
WASP-110 b;0.515
WASP-111 b;1.83
WASP-112 b;0.88
WASP-117 b;0.2755
WASP-12 b;1.404
WASP-120 b;5.01
WASP-121 b;1.183
WASP-122 b;1.372
WASP-123 b;0.92
WASP-13 b;0.485
WASP-135 b;1.9
WASP-14 b;7.341
WASP-15 b;0.542
WASP-16 b;0.855
WASP-17 b;0.486
WASP-18 b;10.43
WASP-19 b;1.114
WASP-2 b;0.847
WASP-20 b;0.313
WASP-21 b;0.3
WASP-22 b;0.588
WASP-23 b;0.884
WASP-24 b;1.071
WASP-25 b;0.58
WASP-26 b;1.028
WASP-28 b;0.907
WASP-29 b;0.2428971463
WASP-3 b;2.06
WASP-31 b;0.478
WASP-32 b;3.6
WASP-33 b;2.1
WASP-34 b;0.59
WASP-35 b;0.72
WASP-36 b;2.279
WASP-37 b;1.8
WASP-38 b;2.712
WASP-39 b;0.28
WASP-4 b;1.237
WASP-41 b;0.94
WASP-41 c;3.18
WASP-42 b;0.5
WASP-43 b;2.034
WASP-44 b;0.889
WASP-45 b;1.007
WASP-46 b;2.101
WASP-47 b;1.13
WASP-47 c;1.24
WASP-47 d;0.027
WASP-47 e;0.028
WASP-48 b;0.98
WASP-49 b;0.378
WASP-5 b;1.637
WASP-50 b;1.437
WASP-52 b;0.46
WASP-54 b;0.6
WASP-55 b;0.57
WASP-56 b;0.6
WASP-57 b;0.8
WASP-58 b;0.89
WASP-59 b;0.7
WASP-6 b;0.503
WASP-60 b;0.5
WASP-61 b;2.06
WASP-62 b;0.57
WASP-63 b;0.38
WASP-64 b;1.2
WASP-65 b;1.55
WASP-66 b;2.32
WASP-67 b;0.42
WASP-68 b;0.95
WASP-69 b;0.26
WASP-7 b;0.96
WASP-70A b;0.59
WASP-71 b;2.258
WASP-72 b;1.461
WASP-73 b;1.88
WASP-74 b;0.95
WASP-75 b;1.07
WASP-76 b;0.92
WASP-77A b;1.76
WASP-78 b;1.16
WASP-79 b;0.9
WASP-8 b;2.244
WASP-80 b;0.554
WASP-82 b;1.24
WASP-83 b;0.3
WASP-84 b;0.694
WASP-85 b;1.265
WASP-87A b;2.18
WASP-88 b;0.56
WASP-89 b;5.9
WASP-90 b;0.63
WASP-94 A b;0.452
WASP-94 B b;0.618
WASP-95 b;1.13
WASP-96 b;0.48
WASP-97 b;1.32
WASP-98 b;0.83
WASP-99 b;2.78
WD 0806-661B b;8
WD 1145+017 b;0.0000021
WISE 0458+6434 b;13
WISE 1217+16A b;22
WISE 1711+3500 b;18
WISE J0720-0846;62
WTS-1 b;4.01
WTS-2 b;1.12
XO-1 b;0.9
XO-2N b;0.62
XO-2S b;0.259
XO-2S c;1.37
XO-3 b;11.79
XO-4 b;1.615
XO-5 b;1.077
YBP1194 b;0.34
YBP1514 b;0.4
alf Ari b;1.8
alf Cen B b;0.0036
beta Cir b;56
beta Cnc b;7.8
beta Pic b;7
beta Umi b;6.1
eps CrB b;6.7
eps Eridani b;1.55
eps Tau b;7.6
eta Cet b;2.55
eta Cet c;3.32
gamma 1 Leo b;8.78
gamma Cephei b;1.85
kappa And b;14
kappa CrB b;1.6
ksi Aql b;2.8
mu Ara b;1.676
mu Ara c;0.03321
mu Ara d;0.5219
mu Ara e;1.814
mu Leo b;2.4
nu Oph b;24
nu Oph c;27
ome Ser b;1.7
omi CrB b;1.5
omi UMa b;4.1
sig Per b;6.5
tau Boo b;4.13
tau Gem b;20.6
ups And b;0.62
ups And c;1.8
ups And d;10.19
ups And e;1.059
