name;mass;radius;orbital_period;semi_major_axis;eccentricity
HD 219134 f;28;-1;22805;0.14574;0
HD 219134 g;34;-1;94.2;0.3753;0
HD 219134 h;0.34;-1;2247;3.11;0.06
HD 219415 b;1;-1;2093.3;3.2;-1
HD 219828 b;85;-1;3.8335;52;0
HD 220074 b;11.1;-1;672.1;1.6;0.14
HD 220689 b;1.06;-1;2209;3.36;0.16
HD 220773 b;1.45;-1;3724.7;4.94;0.51
HD 221287 b;3.09;-1;456.1;1.25;0.08
HD 222155 b;1.9;-1;3999;5.1;0.16
HD 222582 b;7.75;-1;572.38;1.35;0.725
HD 224693 b;0.71;-1;26.73;233;0.05
HD 22781 b;13.65;-1;528.07;1167;0.8191
HD 23079 b;2.5;-1;626;1.5;0.02
HD 23127 b;1.5;-1;1214;2.4;0.44
HD 231701 b;1.08;-1;141.6;0.53;0.1
HD 233604 b;6575;-1;192;747;0.05
HD 23596 b;8.1;-1;1565;2.88;0.292
HD 240210 b;6.9;-1;501.75;1.33;0.15
HD 240237 b;5.3;-1;745.7;1.9;0.4
HD 24040 b;4.01;-1;3668;4.92;0.04
HD 24064 b;9.4;-1;555.6;1.29;0.35
HD 25171 b;0.95;-1;1845;3.02;0.08
HD 2638 b;0.48;1.04;3.43752;44;0.0407
HD 27442 b;1.35;-1;415.2;1.16;0.058
HD 27631 b;1.45;-1;2208;3.25;0.12
HD 27894 b;0.62;-1;17991;122;0.049
HD 28185 b;5.7;-1;383;1.03;0.07
HD 28254 b;1.16;-1;1116;2.15;0.81
HD 284149 b;32;-1;-1;400;-1
HD 285507 b;917;-1;6.0881;0.0729;0.086
HD 28678 b;1.7;-1;387.1;1.24;0.168
HD 290327 b;2.54;-1;2443;3.43;0.08
HD 2952 b;1.6;-1;311.6;1.2;0.129
HD 30177 b;7.7;-1;1620;2.6;0.22
HD 30562 b;1.29;-1;1157;2.3;0.76
HD 30669 b;0.47;-1;1684;2.69;0.18
HD 30856 b;1.8;-1;912;2;0.24
HD 31253 b;0.5;-1;466;1.26;0.3
HD 31527 b;0.0363;-1;16546;0.1253;0.13
HD 31527 c;0.0498;-1;51284;0.2665;0.11
HD 31527 d;0.0519;-1;274.49;0.8181;0.38
HD 32518 b;3.04;-1;157.54;0.59;0.01
HD 330075 b;0.62;1.06;3.6413;39;0.0187
HD 33142 b;1.3;-1;326.6;1.06;0.22
HD 33283 b;0.33;0.99;18.1801;168;0.458
HD 33564 b;9.1;-1;388;1.1;0.34
HD 34445 b;0.79;-1;1049;2.07;0.27
HD 3651 b;0.2;-1;62.23;284;0.63
HD 3651 c;0.09;-1;31;186;0.04
HD 37124 b;675;-1;154378;0.53364;0.054
HD 37124 c;652;-1;885.5;1.71;0.125
HD 37124 d;696;-1;1862;2807;0.16
HD 37605 b;2813;-1;55.01307;0.2837;0.6767
HD 37605 c;3366;-1;2720;3814;0.013
HD 38283 b;0.34;-1;363.2;1.02;0.41
HD 38529 b;0.78;-1;14.3104;131;0.248
HD 38529 c;17.7;-1;2134.76;3695;0.36
HD 38801 b;10.7;-1;696.3;1.7;0
HD 38858 b;0.0961;-1;407.15;1.0376;0.27
HD 39091 b;10.3;-1;2049;3.28;0.61
HD 39194 b;0.0117;-1;5.6363;0.0519;0.2
HD 39194 c;0.0187;-1;14025;0.0954;0.11
HD 39194 d;0.0162;-1;33941;172;0.2
HD 40307 b;12;-1;4.3115;0.0475;0.2
HD 40307 c;6.43;-1;9.6207;0.0812;0.06
HD 40307 d;0.0275;-1;20.4184;134;0.07
HD 40307 e;11;-1;34.62;0.1886;0.15
HD 40307 f;0.0114;-1;51.56;0.2485;0.02
HD 40307 g;0.0223;-1;197.8;0.6;0.29
HD 40979 b;3.28;-1;263.1;0.83;0.25
HD 41004 A b;2.54;-1;963;1.64;0.39
HD 41004 B b;18.4;1.06;1.32363;0.0177;0.058
HD 4113 b;1.56;-1;526.62;1.28;0.903
HD 4203 b;1.82;-1;437.05;1164;0.52
HD 4203 c;2.17;-1;6700;-1;0.24
HD 4208 b;0.8;-1;829;1.7;0.04
HD 4308 b;0.0405;-1;15609;118;0.27
HD 4313 b;2.3;-1;356;1.19;0.041
HD 43197 b;0.6;-1;327.8;0.92;0.83
HD 43691 b;2.49;-1;36.96;0.24;0.14
HD 44219 b;0.58;-1;472.3;1.19;0.61
HD 45184 b;0.04;-1;5.8872;0.0638;0.3
HD 45350 b;1.79;-1;890.76;1.92;0.778
HD 45364 b;0.1872;-1;226.93;0.6813;0.1684
HD 45364 c;0.6579;-1;342.85;0.8972;0.0974
HD 45652 b;0.47;-1;43.6;0.23;0.38
HD 46375 b;0.23;1.02;3.02358;41;0.0524
HD 47186 b;0.07167;-1;4.0845;0.05;0.038
HD 47186 c;0.35061;-1;1353.6;2395;0.249
HD 47536 b;5;-1;430;1.61;0.2
HD 47536 c;7;-1;2500;-1;-1
HD 48265 b;1.16;-1;700;1.51;0.18
HD 49674 b;0.1;0.98;4.94739;58;0.0495
HD 50499 b;1.71;-1;2482.7;3.86;0.23
HD 50554 b;5.16;-1;1293;2.41;0.5
HD 51608 b;0.0413;-1;14.07;0.1059;0.15
HD 51608 c;0.0565;-1;95415;0.3791;0.41
HD 52265 b;1.05;-1;119.6;0.5;0.35
HD 52265 c;0.35;-1;59.9;316;0.05
HD 5319 b;1.94;-1;675;1.75;0.12
HD 5608 b;1.4;-1;792.6;1.9;-1
HD 564 b;0.33;-1;492.3;1.2;0.096
HD 5891 b;7.6;-1;177.11;0.76;0.066
HD 59686 b;5.25;-1;303;911;-1
HD 60532 b;3.15;-1;201.83;0.77;0.278
HD 60532 c;7.46;-1;607.06;1.58;0.038
HD 62509 b;2.9;-1;589.64;1.69;0.02
HD 63454 b;0.39;1.06;2.81747;36;0.0177
HD 63765 b;0.64;-1;358;949;0.24
HD 6434 b;0.39;-1;21998;0.14;0.17
HD 65216 b;1.26;-1;572.4;1.3;0.41
HD 65216 c;0.17;-1;152.6;0.54;0.02
HD 66141 b;6;-1;480.5;1.2;0.07
HD 66428 b;2.82;-1;1973;3.18;0.465
HD 67087 b;3.06;-1;352.2;1.08;0.17
HD 67087 c;4.85;-1;2374;3.86;0.76
HD 6718 b;1.56;-1;2496;3.56;0.1
HD 68988 b;1.9;-1;6276;71;0.14
HD 69830 b;33;-1;8667;0.0785;0.1
HD 69830 c;38;-1;31.56;186;0.13
HD 69830 d;58;-1;197;0.63;0.07
HD 70573 b;6.1;-1;851.8;1.76;0.4
HD 70642 b;2;-1;2231;3.3;0.1
HD 7199 b;0.29;-1;615;1.36;0.19
HD 72659 b;3.15;-1;3658;4.74;0.22
HD 73256 b;1.87;-1;2.54858;37;0.029
HD 73267 b;3.06;-1;1260;2198;0.256
HD 73526 b;2.9;-1;188.3;0.66;0.19
HD 73526 c;2.5;-1;377.8;1.05;0.14
HD 73534 b;1.15;-1;1800;3.15;0.046
HD 74156 b;1.88;-1;51.65;294;0.64
HD 74156 c;8.03;-1;2476;3.4;0.43
HD 7449 b;1.11;-1;1275;2.3;0.82
HD 7449 c;2;-1;4046;4.96;0.53
HD 75289 b;0.47;1.03;3.50928;46;0.0211
HD 75898 b;2.51;-1;418.2;1.19;0.1
HD 76700 b;0.23;0.99;3.97101;49;0.0616
HD 77338 b;0.5;-1;5.7561;0.0614;-1
HD 7924 b;0.0273;1.05;5.39792;0.05664;0.058
HD 7924 c;0.0247;-1;15299;0.1134;0.098
HD 7924 d;0.0203;-1;24451;0.1551;0.21
HD 79498 b;1.34;-1;1966;3.13;0.59
HD 80606 b;3.94;921;111.43637;449;0.93366
HD 81040 b;6.86;-1;1001.7;1.94;0.526
HD 81688 b;2.7;-1;184.02;0.81;0
HD 82886 b;1.3;-1;705;1.65;0.27
HD 82943 b;4.8;-1;442.4;1.19;0.203
HD 82943 c;4.78;-1;219.3;746;0.425
HD 82943 d;0.29;-1;1078;2145;0
HD 83443 b;0.4;1.04;2.98572;0.0406;0.007
HD 8535 b;0.68;-1;1313;2.45;0.15
HD 85390 b;132;-1;788;1.52;0.41
HD 85390 c;0.2;-1;3700;4.23;0
HD 85512 b;11;-1;58.43;0.26;0.11
HD 8574 b;2.11;-1;227.55;0.77;0.288
HD 86081 b;1.5;1.08;1.99809;39;0.0575
HD 86226 b;1.5;-1;1534;2.6;0.73
HD 86264 b;7;-1;1475;2.86;0.7
HD 8673 b;14.2;-1;1634;3.02;0.723
HD 87883 b;12.1;-1;2754;3.6;0.53
HD 88133 b;0.3;1;3.41566;47;0.0761
HD 89307 b;2;-1;2199;3.34;0.25
HD 89744 b;7.2;-1;256;0.88;0.7
HD 89744 c;3.2;-1;85.2;0.44;0
HD 90156 b;57;-1;49.77;0.25;0.31
HD 92788 b;3.86;-1;325.81;0.97;0.334
HD 92788 c;0.9;-1;162;0.6;0.04
HD 93083 b;0.37;-1;143.58;477;0.14
HD 93385 b;0.0263;-1;13186;0.1116;0.15
HD 93385 c;0.0318;-1;46025;257;0.24
HD 9446 b;0.7;-1;30052;189;0.2
HD 9446 c;1.82;-1;192.9;654;0.06
HD 95086 b;5;-1;-1;61.5;-1
HD 95089 b;1.2;-1;507;1.51;0.157
HD 95127 b;5.01;-1;482;1.28;0.11
HD 9578 b;0.62;-1;494;-1;-1
HD 96063 b;0.9;-1;361.1;0.99;0.28
HD 96127 b;4;-1;647.3;1.4;0.3
HD 96167 b;0.68;-1;498.9;1.3;0.71
HD 96700 b;0.0284;-1;8.1256;0.0774;0.1
HD 96700 c;0.04;-1;103.49;422;0.37
HD 97658 b;0.0237548375;0.2004642706;9.4903;0.08;0.078
HD 98219 b;1.8;-1;436.9;1.23;0.21
HD 98649 b;6.8;-1;4951;5.6;0.85
HD 99109 b;502;-1;439.3;1105;0.09
HD 99492 b;109;-1;17.0431;0.1232;0.254
HD 99492 c;0.36;-1;4970;5.4;0.106
HD 99706 b;1.4;-1;868;2.14;0.365
HD169142 b;30;-1;-1;22.7;-1
HIP 105854 b;8.2;-1;184.2;0.81;0.02
HIP 107773 b;1.98;-1;144.3;0.72;0.09
HIP 116454 b;0.03719;226;9.1265;98;0.205
HIP 11915;0.99;-1;3830;4.8;0.1
HIP 12961 b;0.35;-1;57435;0.13;0.16
HIP 14810 b;3.88;-1;6.673855;0.0692;0.1427
HIP 14810 c;1.28;-1;147.73;545;0.164
HIP 14810 d;0.57;-1;962;1.89;0.173
HIP 5158 b;1.44;-1;345.63;0.89;0.54
HIP 5158 c;15.04;-1;9018;7.7;0.14
HIP 57050 b;298;-1;41397;0.163506;0.314
HIP 57274 b;36;-1;8.1352;0.07;0.187
HIP 57274 c;0.41;-1;32.03;178;0.05
HIP 57274 d;527;-1;431.7;1.01;0.27
HIP 63242 b;9.18;-1;124.6;565;0.23
HIP 65891 b;6;-1;1084.5;2.81;0.13
HIP 67851 b;1.38;-1;88.9;0.46;0.05
HIP 67851 c;5.98;-1;2131.8;3.82;0.17
HIP 70849 b;9;-1;10000;10;0.6
HIP 73990 b;21;-1;-1;20;-1
HIP 73990 c;22;-1;-1;32;-1
HIP 74865 b;28;-1;-1;23;-1
HIP 75458 b;8.82;-1;510702;1275;0.713
HIP 77900 b;20;-1;-1;3200;-1
HIP 78530 b;23.04;-1;-1;710;-1
HIP 79431 b;2.1;-1;111.7;0.36;0.29
HIP 91258 b;1068;-1;5.0505;57;0.024
HIP 97233 b;20;-1;1058.8;2.55;0.61
HN Peg b;16;1.1;-1;795;-1
HR 228 b;2.37;-1;360.2;1.19;0.13
HR 228 c;2.37;-1;2732;4.6;0.23
HR 3549 b;47.5;-1;-1;80;-1
HR 810 b;2.26;-1;320.1;925;0.161
HR 8799 b;7;1.2;164250;68;0
HR 8799 c;10;1.3;82145;42.9;0
HR 8799 d;10;1.2;41054;27;0.1
HR 8799 e;9;-1;18000;14.5;-1
HU Aqr(AB) c;5.9;-1;5646;6.18;0.29
HW Vir (AB) b;14.3;-1;4640;4.69;0.4
K2-3  b;-1;191;10.05403;0.0769;-1
K2-3 c;-1;153;24.6454;0.1399;-1
K2-3 d;-1;136;44.5631;0.2076;-1
KELT-1 b;27.38;1116;1.217514;0.02472;0.01
KELT-10 b;679;1399;4.166285;0.0525;-1
KELT-15 b;0.91;1443;3.329441;0.04613;-1
KELT-2A b;1486;1306;4.1137914;0.05498;0.185
KELT-3 b;1418;1333;2.7033902;0.04117;0
KELT-6 b;442;1.18;7.845582;0.08;0.029
KELT-6 c;3.71;-1;1276;2.39;0.21
KELT-7 b;1.28;1533;2.7347749;0.04415;-1
KELT-8 b;867;1.86;3.24406;0.04571;0.035
KIC 10001893 b;-1;-1;0.2197;-1;-1
KIC 10001893 d;-1;-1;0.81161;-1;-1
KIC 10255705 b;-1;0.65;707.3793;1.6;0
KIC 10905746 b;-1;237;9.8844;0.0751;-1
KIC 11152511 b;-1;0.36;287363;0.85;0.67
KIC 12454613 b;-1;228;736.3819;1.54;0.16
KIC 12557548 b;3;0.0758320561;0.653553;13;-1
KIC 5094412 b;-1;0.51;276.88;0.78;0
KIC 5732155 b;-1;1.14;644.1685;1.52;0
KIC 6185331 b;-1;0.72;49.76971;0.2672;-1
KIC 6372194 b;-1;0.74;281.5848;0.78;0.65
KIC 6436029 b;-1;274;505.45;1.15;0
KIC 9632895 (AB) b;0.03;0.55;240503;-1;-1
KIC 9704149 b;-1;0.4;697.0159;1.46;0.29
KIC-8552719 b;-1;315;88.4075;0.19757;-1
KMT-2015-1 b;2.2;-1;-1;0.76;-1
KOI-1089.02;0.64;625;12.21826;-1;0.5
KOI-1257 A b;1.45;0.94;86.647661;382;0.772
KOI-1299 c;2.63;-1;411;1188;0.64
KOI-1781 b;-1;168;3.00516;38;0
KOI-1843 b;1;52;0.1768913;-1;-1
KOI-188 b;0.25;978;3.79701816;0.0464;0.33
KOI-192 b;0.29;1.23;-1;91;0.57
KOI-195 b;0.34;1.09;3.21751883;0.0414;0.18
KOI-206 b;2.9;0.7;5.33;59;-1
KOI-2138 b;-1;0.19;23.5541;0.21;-1
KOI-2700 b;0.002705849;0.0945670346;0.910022;-1;-1
KOI-368.01;-1;1.83;110.3216;581;-1
KOI-372 b;3.25;882;125.63243;0.4937;0.172
KOI-372 c;0.1348;-1;457.57;-1;0.244
KOI-4427.01;-1;164;147.6606;419;0.02
KOI-620.02;0.0239121543;0.8653775812;130194;509;0.008
KOI-680 b;0.62;0.65;8.6;0.08;-1
KOI-830 b;1.27;1.08;3.52563254;0.0433;0.22
KOI-89 b;-1;0.45;84.69;-1;0.056
KOI-89 c;-1;0.43;207.58;-1;0.5
Kapteyn's b;0.0151024132;-1;48616;168;0.21
Kapteyn's c;0.0220243526;-1;121.54;311;0.23
Kepler-10 b;0.0104772992;0.1311448499;0.8374907;0.01685;0
Kepler-10 c;0.0541169808;0.2096533315;45.294301;241;0
Kepler-100 b;0.0231;0.1164;6.887037;-1;0.13
Kepler-100 c;0.0027;0.1981;12.815909;-1;0.02
Kepler-100 d;0.0094;0.1351;35.33313;-1;0.38
Kepler-101 b;-1;524;3.487691;48;-1
Kepler-101 c;-1;119;6.029809;68;-1
Kepler-102 b;0.0220243526;196;16.14569;117;0
Kepler-102 c;0.0094390083;0.1195470061;10.3117732;86;-1
Kepler-102 d;0.0125853444;0.0615577867;7.07134;67;-1
Kepler-103 b;31;0.3101;15.965316;-1;0.03
Kepler-103 c;114;0.4745;179.6133;-1;0.02
Kepler-104 b;-1;277;11.427548;94;-1
Kepler-104 c;-1;279;23.668205;153;-1
Kepler-104 d;-1;319;51.755394;257;-1
Kepler-105 c;-1;144;7.125939;72;-1
Kepler-106 b;0.00047;73;6.16486;-1;-1
Kepler-106 c;0.03285;223;13.5708;-1;-1
Kepler-106 d;25;85;23.9802;-1;-1
Kepler-106 e;0.03514;228;43.8445;-1;-1
Kepler-107 b;-1;139;3.179997;44;-1
Kepler-107 c;-1;161;4.901425;59;-1
Kepler-107 d;-1;95;7.958203;82;-1
Kepler-107 e;-1;308;14.749049;123;-1
Kepler-108 b;-1;772;49.183921;292;-1
Kepler-108 c;-1;0.73;190.323494;721;-1
Kepler-109 b;0.0041;0.2086;6.481637;-1;0.21
Kepler-109 c;0.00698;235;21.22262;-1;0.03
Kepler-11 b;0.0059780386;0.1605855305;10.30375;91;0
Kepler-11 c;0.0091243747;0.256044707;13.02502;106;0
Kepler-11 d;0.0229682535;0.2783482529;22.68719;159;0
Kepler-11 e;0.03;374;31.9959;194;0
Kepler-11 f;0.0062926722;0.2221433172;46.68876;0.25;0
Kepler-11 g;0.95;0.3274;118.37774;462;0
Kepler-110 b;-1;163;12.691112;107;-1
Kepler-110 c;-1;197;31.719775;198;-1
Kepler-111 b;-1;141;3.341815;46;-1
Kepler-111 c;-1;651;224.784608;761;-1
Kepler-112 b;-1;211;8.408878;76;-1
Kepler-112 c;-1;214;28.574263;172;-1
Kepler-113 b;0.0368;162;4754;-1;-1
Kepler-113 c;27;194;8.92507;-1;-1
Kepler-114 b;0.0220243526;0.1052727367;5.188548;52;-1
Kepler-114 c;0.1258534437;143;8041;0.07;-1
Kepler-114 d;0.0151;226;11776;0.09;-1
Kepler-115 b;-1;97;2.403679;36;-1
Kepler-115 c;-1;232;8.990889;87;-1
Kepler-116 b;-1;305;5.968734;69;-1
Kepler-116 c;-1;205;13.07163;116;-1
Kepler-117 b;-1;697;18.795952;148;-1
Kepler-117 c;-1;1008;50.790412;287;-1
Kepler-118 b;-1;175;7.518496;73;-1
Kepler-118 c;-1;685;20.17202;141;-1
Kepler-119 b;-1;321;2.422082;35;-1
Kepler-119 c;-1;82;4.125103;49;-1
Kepler-12 b;431;1695;4.4379637;0.0556;0.01
Kepler-120 b;-1;192;6.312501;55;-1
Kepler-120 c;-1;136;12.794585;88;-1
Kepler-121 b;-1;209;3.177422;39;-1
Kepler-121 c;-1;203;41.008011;216;-1
Kepler-122 b;-1;209;5.766193;64;-1
Kepler-122 c;-1;524;12.465988;108;-1
Kepler-122 d;-1;196;21.587475;155;-1
Kepler-122 e;-1;232;37.993273;227;-1
Kepler-123 b;-1;262;17.232366;135;-1
Kepler-123 c;-1;132;26.695074;181;-1
Kepler-124 b;-1;65;3.410493;39;-1
Kepler-124 c;-1;156;13.821375;0.1;-1
Kepler-124 d;-1;99;30.950851;0.17;-1
Kepler-125 b;-1;211;4.164389;41;-1
Kepler-125 c;-1;66;5.774464;51;-1
Kepler-126 b;-1;136;10.495711;99;-1
Kepler-126 c;-1;141;21.869741;162;-1
Kepler-126 d;-1;223;100.283134;448;-1
Kepler-127 b;-1;125;14.435889;125;-1
Kepler-127 c;-1;237;29.393195;0.2;-1
Kepler-127 d;-1;236;48.630408;0.28;-1
Kepler-128 b;0.0941;101;15.09;-1;-1
Kepler-128 c;104;101;22804;-1;-1
Kepler-129 b;-1;211;15.79186;131;-1
Kepler-129 c;-1;227;82.20017;393;-1
Kepler-13 b;6.5;1406;1.7633587;-1;-1
Kepler-130 b;-1;91;8.457458;79;-1
Kepler-130 d;-1;146;87.517905;377;-1
Kepler-131 b;0.05075;215;16092;-1;-1
Kepler-131 c;26;75;25516;-1;-1
Kepler-132 b;-1;108;6.178196;67;-1
Kepler-132 c;-1;114;6.414914;68;-1
Kepler-132 d;-1;138;18.010199;136;-1
Kepler-133 b;-1;157;8.129976;83;-1
Kepler-133 c;-1;253;31.517586;204;-1
Kepler-134 b;-1;178;5.317429;0.06;-1
Kepler-134 c;-1;112;10.105785;92;-1
Kepler-135 b;-1;161;6.00253;67;-1
Kepler-135 c;-1;103;11.448708;103;-1
Kepler-136 b;-1;183;11.5789;106;-1
Kepler-136 c;-1;178;16.399235;133;-1
Kepler-137 b;-1;131;8.436387;77;-1
Kepler-137 c;-1;168;18.735753;0.13;-1
Kepler-138 b;0.00021;52;10.31320643;0.0746;0
Kepler-138 c;0.00318;144;13.78164;-1;0.05
Kepler-138 d;0.0031777995;0.1436348356;23.08933;-1;0.024
Kepler-139 b;-1;262;15.771044;127;-1
Kepler-139 c;-1;302;157.072878;586;-1
Kepler-14 b;8.4;1136;6.790123;-1;0.035
Kepler-140 b;-1;144;3.25427;45;-1
Kepler-140 c;-1;161;91.353282;414;-1
Kepler-141 b;-1;62;3.107675;39;-1
Kepler-141 c;-1;126;7.010606;67;-1
Kepler-142 b;-1;178;2.024152;32;-1
Kepler-142 c;-1;255;4.761702;57;-1
Kepler-142 d;-1;193;41.809118;242;-1
Kepler-143 b;-1;215;16.007583;127;-1
Kepler-143 c;-1;301;27.082511;181;-1
Kepler-144 b;-1;119;5.885273;66;-1
Kepler-144 c;-1;0.12;10.104665;94;-1
Kepler-145 b;108;237;22951;-1;-1
Kepler-145 c;234;395;42882;-1;-1
Kepler-146 b;-1;331;31.158799;0.2;-1
Kepler-146 c;-1;279;76.732171;364;-1
Kepler-147 b;-1;136;12.610584;113;-1
Kepler-147 c;-1;217;33.416423;216;-1
Kepler-148 b;-1;161;1.729366;28;-1
Kepler-148 c;-1;321;4.180043;0.05;-1
Kepler-149 b;-1;376;29.198943;184;-1
Kepler-149 c;-1;144;55.328328;281;-1
Kepler-149 d;-1;353;160.018032;571;-1
Kepler-15 b;0.66;0.96;4.942782;0.05714;-1
Kepler-150 b;-1;112;3.428054;44;-1
Kepler-150 c;-1;329;7.381998;73;-1
Kepler-150 d;-1;249;12.56093;104;-1
Kepler-150 e;-1;278;30.826557;189;-1
Kepler-151 b;-1;273;15.228958;116;-1
Kepler-151 c;-1;186;24.674612;0.16;-1
Kepler-152 b;-1;249;18.207973;124;-1
Kepler-152 c;-1;213;88.255055;356;-1
Kepler-153 b;-1;261;18.870227;129;-1
Kepler-153 c;-1;226;46.90232;237;-1
Kepler-154 b;-1;202;33.040532;198;-1
Kepler-154 c;-1;263;62.303276;303;-1
Kepler-155 b;-1;186;5.931194;56;-1
Kepler-155 c;-1;0.2;52.661793;242;-1
Kepler-156 b;-1;205;4.973456;54;-1
Kepler-156 c;-1;227;15.906801;117;-1
Kepler-157 b;-1;118;1.732342;28;-1
Kepler-157 c;-1;0.2;13.5405;0.11;-1
Kepler-158 b;-1;189;16.709184;111;-1
Kepler-158 c;-1;0.17;28.551383;158;-1
Kepler-159 b;-1;212;10.139623;82;-1
Kepler-159 c;-1;304;43.595792;218;-1
Kepler-16 (AB) b;333;0.7538;228776;0.7048;0.00685
Kepler-160 b;-1;137;4.309427;0.05;-1
Kepler-160 c;-1;322;13.699087;109;-1
Kepler-161 b;-1;189;4.921355;54;-1
Kepler-161 c;-1;183;7.06424;68;-1
Kepler-162 b;-1;112;6.919798;69;-1
Kepler-162 c;-1;0.27;19.446355;137;-1
Kepler-163 b;-1;94;7.810937;78;-1
Kepler-163 c;-1;202;21.347262;152;-1
Kepler-164 b;-1;126;5.03503;58;-1
Kepler-164 c;-1;244;10.945723;97;-1
Kepler-164 d;-1;219;28.986769;187;-1
Kepler-165 b;-1;207;8.180848;72;-1
Kepler-165 c;-1;199;15.31299;0.11;-1
Kepler-166 b;-1;203;7.650254;72;-1
Kepler-166 c;-1;212;34.260281;195;-1
Kepler-167 b;-1;129;4.393147;48;-1
Kepler-167 c;-1;122;7.406097;68;-1
Kepler-168 b;-1;0.13;4.425391;56;-1
Kepler-168 c;-1;0.24;13.193242;116;-1
Kepler-169 b;-1;101;3.250619;0.04;-1
Kepler-169 c;-1;108;6.195469;62;-1
Kepler-169 d;-1;112;8.348125;75;-1
Kepler-169 e;-1;196;13.767102;105;-1
Kepler-169 f;-1;0.23;87.090195;359;-1
Kepler-17 b;2.45;1312;1.4857108;0.02591;0.011
Kepler-170 b;-1;285;7.930592;0.08;-1
Kepler-170 c;-1;255;16.665863;131;-1
Kepler-171 b;-1;209;4.166972;0.05;-1
Kepler-171 c;-1;228;11.463462;98;-1
Kepler-171 d;-1;169;39.595519;223;-1
Kepler-172 b;-1;0.21;2.940309;0.04;-1
Kepler-172 c;-1;255;6.388996;68;-1
Kepler-172 d;-1;201;14.627119;118;-1
Kepler-172 e;-1;246;35.118736;211;-1
Kepler-173 b;-1;115;4.263742;48;-1
Kepler-173 c;-1;217;8.005777;74;-1
Kepler-174 b;-1;175;13.98179;0.1;-1
Kepler-174 c;-1;133;44.000529;214;-1
Kepler-174 d;-1;195;247.35373;677;-1
Kepler-175 b;-1;228;11.903515;105;-1
Kepler-175 c;-1;277;34.035257;213;-1
Kepler-176 b;-1;128;5.433074;58;-1
Kepler-176 c;-1;232;12.759712;102;-1
Kepler-176 d;-1;224;25.751974;163;-1
Kepler-177 b;0.00535;259;35855;-1;-1
Kepler-177 c;0.0198;635;49412;-1;-1
Kepler-178 b;-1;259;9.576694;85;-1
Kepler-178 c;-1;257;20.552802;142;-1
Kepler-178 d;-1;352;96.678988;397;-1
Kepler-179 b;-1;146;2.735926;36;-1
Kepler-179 c;-1;178;6.40013;64;-1
Kepler-18 b;0.0216153289;0.1784283673;3.504725;0.0447;-1
Kepler-18 c;0.0541169808;0.4888937263;7.64159;0.0752;-1
Kepler-18 d;0.0512852783;0.6218228599;14.85888;0.1172;-1
Kepler-180 b;-1;134;13.817124;109;-1
Kepler-180 c;-1;269;41.885775;229;-1
Kepler-181 b;-1;113;3.137873;0.04;-1
Kepler-181 c;-1;178;4.302149;49;-1
Kepler-182 b;-1;0.23;9.825792;96;-1
Kepler-182 c;-1;306;20.684342;157;-1
Kepler-183 b;-1;184;5.687945;64;-1
Kepler-183 c;-1;203;11.637071;103;-1
Kepler-184 b;-1;211;10.687576;92;-1
Kepler-184 c;-1;176;20.303005;141;-1
Kepler-184 d;-1;222;29.022358;179;-1
Kepler-185 b;-1;104;1.6329;26;-1
Kepler-185 c;-1;0.18;20.729042;139;-1
Kepler-186 b;-1;102;3.886803;0.04;-1
Kepler-186 c;-1;0.12;7.267277;61;-1
Kepler-186 d;-1;139;13.343058;91;-1
Kepler-186 e;-1;119;22.407793;129;-1
Kepler-186 f;-1;0.0990277438;129.9459;356;-1
Kepler-187 b;-1;126;4.938864;59;-1
Kepler-187 c;-1;238;10.640263;99;-1
Kepler-188 b;-1;0.15;2.061897;32;-1
Kepler-188 c;-1;285;5.996553;66;-1
Kepler-189 b;-1;108;10.399931;88;-1
Kepler-189 c;-1;212;20.134866;137;-1
