name;mass;radius;orbital_period;semi_major_axis;eccentricity
Kepler-19 b;64;198;9.2869944;85;-1
Kepler-190 b;-1;139;2.019999;0.03;-1
Kepler-190 c;-1;0.13;3.763024;45;-1
Kepler-191 b;-1;0.12;9.939632;87;-1
Kepler-191 c;-1;166;17.738506;128;-1
Kepler-192 b;-1;244;9.926746;0.09;-1
Kepler-192 c;-1;249;21.2234;0.15;-1
Kepler-193 b;-1;213;11.38848;106;-1
Kepler-193 c;-1;245;50.697494;286;-1
Kepler-194 b;-1;135;2.092281;32;-1
Kepler-194 c;-1;231;17.308032;131;-1
Kepler-194 d;-1;214;52.814973;275;-1
Kepler-195 b;-1;181;8.307872;77;-1
Kepler-195 c;-1;138;34.096863;197;-1
Kepler-196 b;-1;0.17;20.739886;138;-1
Kepler-196 c;-1;0.2;47.427737;0.24;-1
Kepler-197 b;-1;91;5.599308;0.06;-1
Kepler-197 c;-1;0.11;10.349695;0.09;-1
Kepler-197 d;-1;109;15.677563;119;-1
Kepler-197 e;-1;81;25.209715;164;-1
Kepler-198 b;-1;252;17.790037;131;-1
Kepler-198 c;-1;0.22;49.567416;259;-1
Kepler-199 b;-1;277;23.637604;158;-1
Kepler-199 c;-1;0.29;67.093408;316;-1
Kepler-20 b;0.02658654;0.1695069489;3.6961219;0.04537;0.32
Kepler-20 c;0.0493974766;0.2729954019;10.854092;93;0.4
Kepler-20 d;0.06;0.25;77.61185;0.3453;0.6
Kepler-20 e;0.0097;78;6.098493;0.0507;-1
Kepler-20 f;45;0.09;19.57706;0.11;-1
Kepler-200 b;-1;0.19;8.594805;0.08;-1
Kepler-200 c;-1;142;10.222157;0.09;-1
Kepler-201 b;-1;219;25.672083;175;-1
Kepler-201 c;-1;254;151.884058;573;-1
Kepler-202 b;-1;145;4.069427;45;-1
Kepler-202 c;-1;165;16.282493;113;-1
Kepler-203 b;-1;229;3.162697;43;-1
Kepler-203 c;-1;0.22;5.370647;61;-1
Kepler-203 d;-1;128;11.32972;0.1;-1
Kepler-204 b;-1;226;14.400974;117;-1
Kepler-204 c;-1;0.16;25.660593;173;-1
Kepler-205 b;-1;135;2.75564;32;-1
Kepler-205 c;-1;146;20.306546;122;-1
Kepler-206 b;-1;107;7.781987;78;-1
Kepler-206 c;-1;158;13.137471;111;-1
Kepler-206 d;-1;106;23.44281;163;-1
Kepler-207 b;-1;0.14;1.611865;29;-1
Kepler-207 c;-1;134;3.071571;44;-1
Kepler-207 d;-1;295;5.868075;68;-1
Kepler-208 b;-1;145;4.22864;54;-1
Kepler-208 c;-1;124;7.466623;79;-1
Kepler-208 d;-1;107;11.131786;103;-1
Kepler-208 e;-1;132;16.259458;132;-1
Kepler-209 b;-1;202;16.087845;122;-1
Kepler-209 c;-1;277;41.749882;231;-1
Kepler-21 b;33;0.1459;2.785755;0.042507;0
Kepler-210 b;-1;0.3419;2.4532;0.01421;0.44
Kepler-210 c;-1;436;7.9725;37;0.5
Kepler-211 b;-1;112;4.138575;48;-1
Kepler-211 c;-1;115;6.04045;62;-1
Kepler-212 b;-1;97;16.257582;133;-1
Kepler-212 c;-1;244;31.805174;207;-1
Kepler-213 b;-1;145;2.46236;36;-1
Kepler-213 c;-1;209;4.822962;57;-1
Kepler-214 b;-1;233;15.660544;0.13;-1
Kepler-214 c;-1;0.19;28.7798;194;-1
Kepler-215 b;-1;145;9.360672;84;-1
Kepler-215 c;-1;158;14.667108;113;-1
Kepler-215 d;-1;213;30.864423;185;-1
Kepler-215 e;-1;156;68.16101;314;-1
Kepler-216 b;-1;0.21;7.693641;79;-1
Kepler-216 c;-1;271;17.406669;136;-1
Kepler-217 b;-1;199;5.374943;65;-1
Kepler-217 c;-1;165;8.586004;89;-1
Kepler-218 b;-1;132;3.619337;46;-1
Kepler-218 c;-1;0.28;44.699576;248;-1
Kepler-219 b;-1;263;4.585512;57;-1
Kepler-219 c;-1;319;22.714613;165;-1
Kepler-219 d;-1;251;47.903645;272;-1
Kepler-22 b;0.11;0.21;289.8623;849;-1
Kepler-220 b;-1;72;4.159807;46;-1
Kepler-220 c;-1;0.14;9.034199;76;-1
Kepler-220 d;-1;87;28.122397;163;-1
Kepler-220 e;-1;119;45.902733;226;-1
Kepler-221 b;-1;153;2.795906;37;-1
Kepler-221 c;-1;261;5.690586;59;-1
Kepler-221 d;-1;244;10.04156;87;-1
Kepler-221 e;-1;235;18.369917;0.13;-1
Kepler-222 b;-1;282;3.936981;48;-1
Kepler-222 c;-1;414;10.08881;91;-1
Kepler-222 d;-1;329;28.081912;0.18;-1
Kepler-223 b;-1;151;7.384108;73;-1
Kepler-223 c;-1;178;9.848183;88;-1
Kepler-223 d;-1;266;14.788759;116;-1
Kepler-223 e;-1;214;19.721734;0.14;-1
Kepler-224 b;-1;124;3.132924;38;-1
Kepler-224 c;-1;278;5.925003;58;-1
Kepler-224 d;-1;205;11.349393;89;-1
Kepler-224 e;-1;176;18.643577;124;-1
Kepler-225 b;-1;107;6.738975;56;-1
Kepler-225 c;-1;164;18.794234;111;-1
Kepler-226 b;-1;138;3.940997;47;-1
Kepler-226 c;-1;203;5.349555;58;-1
Kepler-226 d;-1;109;8.109044;76;-1
Kepler-227 b;-1;277;9.488015;0.09;-1
Kepler-227 c;-1;271;54.418694;0.29;-1
Kepler-228 b;-1;136;2.566546;38;-1
Kepler-228 c;-1;241;4.134444;52;-1
Kepler-228 d;-1;0.36;11.094286;101;-1
Kepler-229 b;-1;196;6.252972;62;-1
Kepler-229 c;-1;439;16.068638;117;-1
Kepler-229 d;-1;343;41.194912;0.22;-1
Kepler-23 b;0.8;0.17;7.1073;75;-1
Kepler-23 c;2.7;0.29;10.7421;99;-1
Kepler-230 b;-1;0.38;32.625555;191;-1
Kepler-230 c;-1;182;91.773242;0.38;-1
Kepler-231 b;-1;154;10.065275;74;-1
Kepler-231 c;-1;172;19.271566;114;-1
Kepler-232 b;-1;275;4.431222;54;-1
Kepler-232 c;-1;342;11.379349;101;-1
Kepler-233 b;-1;217;8.472382;77;-1
Kepler-233 c;-1;242;60.418955;287;-1
Kepler-234 b;-1;0.33;2.711506;0.04;-1
Kepler-234 c;-1;313;7.21205;77;-1
Kepler-235 b;-1;199;3.340222;37;-1
Kepler-235 c;-1;114;7.824904;65;-1
Kepler-235 d;-1;183;20.060548;122;-1
Kepler-235 e;-1;198;46.183669;213;-1
Kepler-236 b;-1;0.14;8.295611;65;-1
Kepler-236 c;-1;178;23.968127;132;-1
Kepler-237 b;-1;126;4.715106;0.05;-1
Kepler-237 c;-1;186;8.103636;71;-1
Kepler-238 b;-1;154;2.090876;34;-1
Kepler-238 c;-1;213;6.155557;69;-1
Kepler-238 d;-1;274;13.233549;115;-1
Kepler-238 e;626;501;23654;-1;-1
Kepler-238 f;56;179;50447;-1;-1
Kepler-239 b;-1;208;11.763051;95;-1
Kepler-239 c;-1;224;56.228098;268;-1
Kepler-24 b;1.6;0.21;8.1453;0.08;-1
Kepler-24 c;1.6;0.25;12.3335;106;-1
Kepler-240 b;-1;122;4.144495;48;-1
Kepler-240 c;-1;196;7.953528;74;-1
Kepler-241 b;-1;208;12.718092;94;-1
Kepler-241 c;-1;229;36.065978;189;-1
Kepler-242 b;-1;233;8.20395;75;-1
Kepler-242 c;-1;178;14.496481;109;-1
Kepler-243 b;-1;219;5.715442;62;-1
Kepler-243 c;-1;178;20.026218;142;-1
Kepler-244 b;-1;246;4.311792;0.05;-1
Kepler-244 c;-1;183;9.767292;87;-1
Kepler-244 d;-1;206;20.050401;0.14;-1
Kepler-245 b;-1;229;7.49019;71;-1
Kepler-245 c;-1;194;17.460812;124;-1
Kepler-245 d;-1;0.27;36.277108;202;-1
Kepler-246 b;-1;209;4.60182;52;-1
Kepler-246 c;-1;134;11.187161;95;-1
Kepler-247 b;-1;146;3.33616;42;-1
Kepler-247 c;-1;365;9.439452;84;-1
Kepler-247 d;-1;352;20.477912;0.14;-1
Kepler-248 b;-1;269;6.308205;66;-1
Kepler-248 c;-1;363;16.239494;123;-1
Kepler-249 b;-1;97;3.306539;35;-1
Kepler-249 c;-1;135;7.113702;58;-1
Kepler-249 d;-1;0.14;15.368459;97;-1
Kepler-25 b;0.0302048265;0.2417704376;6.2385;68;-1
Kepler-25 c;0.0773998679;0.4639137549;12.7204;0.11;-1
Kepler-25 d;0.2828556146;-1;123;-1;-1
Kepler-250 b;-1;101;4.148141;48;-1
Kepler-250 c;-1;203;7.156804;69;-1
Kepler-250 d;-1;194;17.648312;127;-1
Kepler-251 b;-1;119;4.790936;53;-1
Kepler-251 c;-1;247;16.514043;122;-1
Kepler-251 d;-1;247;30.133001;182;-1
Kepler-251 e;-1;247;99.640161;404;-1
Kepler-252 b;-1;0.11;6.668391;58;-1
Kepler-252 c;-1;192;10.848463;0.08;-1
Kepler-253 b;-1;145;3.783986;46;-1
Kepler-253 c;-1;236;10.281951;89;-1
Kepler-253 d;-1;283;18.119869;0.13;-1
Kepler-254 b;-1;345;5.826662;64;-1
Kepler-254 c;-1;192;12.412183;105;-1
Kepler-254 d;-1;223;18.746477;139;-1
Kepler-255 b;-1;138;5.714606;63;-1
Kepler-255 c;-1;267;9.946047;92;-1
Kepler-256 b;-1;142;1.620493;27;-1
Kepler-256 c;-1;192;3.38802;45;-1
Kepler-256 d;-1;221;5.839172;64;-1
Kepler-256 e;-1;0.21;10.681572;96;-1
Kepler-257 b;-1;233;2.382667;34;-1
Kepler-257 c;-1;483;6.581484;66;-1
Kepler-257 d;-1;442;24.664551;0.16;-1
Kepler-258 b;-1;362;13.19722;103;-1
Kepler-258 c;-1;322;33.653079;193;-1
Kepler-259 b;-1;0.25;8.115317;79;-1
Kepler-259 c;-1;241;36.924931;217;-1
Kepler-26 b;0.38;0.32;12.2829;85;-1
Kepler-26 c;375;0.32;17.2513;107;-1
Kepler-26 e;-1;215;46.827915;0.22;-1
Kepler-260 b;-1;179;8.187399;75;-1
Kepler-260 c;-1;155;76.050178;332;-1
Kepler-261 b;-1;194;10.381227;88;-1
Kepler-261 c;-1;178;24.570858;156;-1
Kepler-262 b;-1;121;13.060855;108;-1
Kepler-262 c;-1;146;21.853722;152;-1
Kepler-263 b;-1;238;16.568087;0.12;-1
Kepler-263 c;-1;0.22;47.332773;242;-1
Kepler-264 b;-1;297;40.806231;249;-1
Kepler-264 c;-1;252;140.101261;566;-1
Kepler-265 b;-1;166;6.846262;69;-1
Kepler-265 c;-1;235;17.028937;127;-1
Kepler-265 d;-1;222;43.130617;236;-1
Kepler-265 e;-1;231;67.831024;319;-1
Kepler-266 b;-1;221;6.61833;71;-1
Kepler-266 c;-1;347;107.723601;457;-1
Kepler-267 b;-1;177;3.353728;37;-1
Kepler-267 c;-1;0.19;6.87745;0.06;-1
Kepler-267 d;-1;203;28.464515;154;-1
Kepler-268 b;-1;227;25.934138;0.18;-1
Kepler-268 c;-1;302;83.446393;391;-1
Kepler-269 b;-1;0.22;5.326718;61;-1
Kepler-269 c;-1;151;8.127899;81;-1
Kepler-27 b;9.11;0.36;15.3348;118;-1
Kepler-27 c;13.8;0.44;31.3309;191;-1
Kepler-270 b;-1;179;11.476094;107;-1
Kepler-270 c;-1;158;25.262887;0.18;-1
Kepler-271 b;-1;79;5.217738;56;-1
Kepler-271 c;-1;89;7.410935;71;-1
Kepler-272 b;-1;128;2.971353;38;-1
Kepler-272 c;-1;0.16;6.057342;61;-1
Kepler-272 d;-1;201;10.937304;91;-1
Kepler-273 b;-1;134;2.936532;37;-1
Kepler-273 c;-1;177;8.014927;73;-1
Kepler-274 b;-1;137;11.634788;101;-1
Kepler-274 c;-1;164;33.197861;204;-1
Kepler-275 b;-1;209;10.300682;98;-1
Kepler-275 c;-1;302;16.088134;132;-1
Kepler-275 d;-1;297;35.676062;224;-1
Kepler-276 b;-1;256;14.12841;119;-1
Kepler-276 c;45;259;31884;-1;-1
Kepler-276 d;44;0.25;48648;-1;-1
Kepler-277 b;0.28;261;17324;-1;-1
Kepler-277 c;0.21;0.3;33006;-1;-1
Kepler-278 b;-1;363;30.160546;207;-1
Kepler-278 c;-1;0.32;51.078775;294;-1
Kepler-279 b;-1;323;12.309681;112;-1
Kepler-279 c;171;385;35736;232;-1
Kepler-279 d;0.13;277;54414;0.30728;-1
Kepler-28 b;1.51;0.32;5.9123;62;-1
Kepler-28 c;1.36;0.3;8.9858;81;-1
Kepler-280 b;-1;129;2.139542;32;-1
Kepler-280 c;-1;179;4.807091;56;-1
Kepler-281 b;-1;252;14.646008;117;-1
Kepler-281 c;-1;474;36.337373;215;-1
Kepler-282 b;-1;0.09;9.220524;82;-1
Kepler-282 c;-1;107;13.638723;106;-1
Kepler-282 d;204;0.22;24806;-1;-1
Kepler-282 e;192;277;44347;-1;-1
Kepler-283 b;-1;0.19;11.008151;82;-1
Kepler-283 c;-1;162;92.743711;341;-1
Kepler-284 b;-1;0.2;12.699149;104;-1
Kepler-284 c;-1;233;37.514456;213;-1
Kepler-285 b;-1;0.12;2.633867;36;-1
Kepler-285 c;-1;0.1;6.186676;64;-1
Kepler-286 b;-1;111;1.796302;27;-1
Kepler-286 c;-1;122;3.468095;42;-1
Kepler-286 d;-1;119;5.914323;61;-1
Kepler-286 e;-1;158;29.221289;176;-1
Kepler-287 b;-1;208;20.342199;145;-1
Kepler-287 c;-1;291;44.851896;246;-1
Kepler-288 b;-1;149;6.097326;65;-1
Kepler-288 c;-1;254;19.305772;0.14;-1
Kepler-288 d;-1;238;56.633742;287;-1
Kepler-289 b;-1;217;34.543901;212;-1
Kepler-289 c;-1;1163;125.866438;502;-1
Kepler-29 b;0.4;0.32;10.3376;0.09;-1
Kepler-29 c;0.3;0.26;13.2907;0.11;-1
Kepler-290 b;-1;201;14.589347;0.11;-1
Kepler-290 c;-1;241;36.77031;205;-1
Kepler-291 b;-1;193;3.546511;47;-1
Kepler-291 c;-1;168;5.700786;65;-1
Kepler-292 b;-1;118;2.580827;35;-1
Kepler-292 c;-1;131;3.715335;45;-1
Kepler-292 d;-1;199;7.055679;68;-1
Kepler-292 e;-1;238;11.97901;97;-1
Kepler-292 f;-1;0.21;20.834237;141;-1
Kepler-293 b;-1;274;19.254196;144;-1
Kepler-293 c;-1;342;54.155743;286;-1
Kepler-294 b;-1;158;3.701212;48;-1
Kepler-294 c;-1;242;6.6264;71;-1
Kepler-295 b;-1;109;12.645164;99;-1
Kepler-295 c;-1;104;21.526258;142;-1
Kepler-295 d;-1;121;33.884054;192;-1
Kepler-296 b;-1;84;3.621457;39;-1
Kepler-296 c;-1;192;5.841648;54;-1
Kepler-296 d;-1;203;19.850242;122;-1
Kepler-296 e;-1;156;34.142347;174;-1
Kepler-296 f;-1;0.16;63.335879;263;-1
Kepler-297 b;-1;256;38.871826;217;-1
Kepler-297 c;-1;583;74.920137;336;-1
Kepler-298 b;-1;175;10.475464;0.08;-1
Kepler-298 c;-1;172;22.92881;136;-1
Kepler-298 d;-1;223;77.473633;305;-1
Kepler-299 b;-1;118;2.927128;0.04;-1
Kepler-299 c;-1;236;6.885875;0.07;-1
Kepler-299 d;-1;166;15.054786;118;-1
Kepler-299 e;-1;167;38.285489;0.22;-1
Kepler-30 b;36;0.35;29334;0.18;-1
Kepler-30 c;2.01;1.1;60.3231;0.3;-1
Kepler-30 d;73;0.79;143343;0.5;-1
Kepler-300 b;-1;149;10.446347;94;-1
Kepler-300 c;-1;201;40.714955;232;-1
Kepler-301 b;-1;0.12;2.508553;36;-1
Kepler-301 c;-1;0.12;5.419026;0.06;-1
Kepler-301 d;-1;156;13.751243;112;-1
Kepler-302 b;-1;362;30.184104;193;-1
Kepler-302 c;-1;1111;127.282184;503;-1
Kepler-303 b;-1;79;1.937055;24;-1
Kepler-303 c;-1;102;7.061149;57;-1
Kepler-304 b;-1;255;3.295709;39;-1
Kepler-304 c;-1;194;5.315946;54;-1
Kepler-304 d;-1;245;9.653471;0.08;-1
Kepler-305 b;0.0356;322;5487;0.05856;-1
Kepler-305 c;0.0192;295;8291;0.07711;-1
Kepler-305 d;-1;242;16.738661;121;-1
Kepler-306 b;-1;136;4.646186;0.05;-1
Kepler-306 c;-1;0.21;7.240193;67;-1
Kepler-306 d;-1;0.22;17.326644;0.12;-1
Kepler-306 e;-1;203;44.840975;227;-1
Kepler-307 b;0.0079;286;10416;-1;-1
Kepler-307 c;0.0038;0.25;13084;-1;-1
Kepler-308 b;-1;189;9.694928;0.09;-1
Kepler-308 c;-1;193;15.38231;123;-1
Kepler-309 b;-1;139;5.923653;59;-1
Kepler-309 c;-1;224;105.356383;401;-1
Kepler-31 b;-1;0.38;20.8613;0.16;-1
Kepler-31 c;4.7;0.38;42.6318;0.26;-1
Kepler-31 d;-1;407;87.648901;0.39;-1
Kepler-310 b;-1;106;13.930698;111;-1
Kepler-310 c;-1;302;56.47542;281;-1
Kepler-310 d;-1;0.22;92.876125;392;-1
Kepler-311 b;-1;152;9.176092;87;-1
Kepler-311 c;-1;128;19.738286;145;-1
Kepler-312 b;-1;115;1.772419;31;-1
Kepler-312 c;-1;281;19.747412;153;-1
Kepler-313 b;-1;226;14.970418;125;-1
Kepler-313 c;-1;229;32.273273;208;-1
Kepler-314 b;-1;74;2.461069;35;-1
Kepler-314 c;-1;259;5.960392;64;-1
Kepler-315 b;-1;336;96.101141;402;-1
Kepler-315 c;-1;0.37;265.469335;791;-1
Kepler-316 b;-1;95;2.240508;27;-1
Kepler-316 c;-1;103;6.827766;58;-1
Kepler-317 b;-1;186;5.524242;61;-1
Kepler-317 c;-1;153;8.77501;83;-1
Kepler-318 b;-1;0.42;4.662715;56;-1
Kepler-318 c;-1;328;11.815007;105;-1
Kepler-319 b;-1;145;4.362705;51;-1
Kepler-319 c;-1;235;6.941357;69;-1
Kepler-319 d;-1;204;31.781925;191;-1
Kepler-32 b;4.1;0.37;5.90124;0.05;-1
Kepler-32 c;0.5;0.33;8.7522;0.09;-1
Kepler-320 b;-1;102;8.371554;85;-1
Kepler-320 c;-1;122;17.934937;142;-1
Kepler-321 b;-1;158;4.915379;57;-1
Kepler-321 c;-1;207;13.093921;0.11;-1
Kepler-322 b;-1;0.09;1.653888;27;-1
Kepler-322 c;-1;149;4.337234;51;-1
Kepler-323 b;-1;128;1.678327;28;-1
Kepler-323 c;-1;145;3.553822;46;-1
Kepler-324 b;-1;102;4.385315;0.05;-1
Kepler-324 c;-1;281;51.805612;0.26;-1
Kepler-325 b;-1;0.26;4.544439;53;-1
Kepler-325 c;-1;227;12.762172;105;-1
Kepler-325 d;-1;249;38.715185;0.22;-1
Kepler-326 b;-1;136;2.248329;32;-1
Kepler-326 c;-1;125;4.580358;51;-1
Kepler-326 d;-1;108;6.766888;66;-1
Kepler-327 b;-1;99;2.549575;29;-1
Kepler-327 c;-1;92;5.212333;47;-1
Kepler-327 d;-1;154;13.969457;0.09;-1
Kepler-328 b;69;206;34921;-1;-1
Kepler-328 c;0.1;483;71312;-1;-1
Kepler-329 b;-1;125;7.416397;61;-1
Kepler-329 c;-1;172;18.684737;113;-1
Kepler-33 b;-1;0.16;5.66793;0.0677;-1
Kepler-33 c;-1;0.29;13.17562;0.1189;-1
Kepler-33 d;-1;0.48;21.77596;0.1662;-1
Kepler-33 e;-1;0.36;31.7844;0.2138;-1
Kepler-33 f;-1;0.4;41.02902;0.2535;-1
Kepler-330 b;-1;0.12;8.25978;75;-1
Kepler-330 c;-1;174;15.955387;116;-1
Kepler-331 b;-1;162;8.457496;65;-1
Kepler-331 c;-1;164;17.28111;105;-1
Kepler-331 d;-1;146;32.134328;159;-1
Kepler-332 b;-1;104;7.626324;0.07;-1
Kepler-332 c;-1;97;15.995622;114;-1
Kepler-332 d;-1;105;34.21154;189;-1
Kepler-333 b;-1;118;12.551158;87;-1
Kepler-333 c;-1;99;24.08821;135;-1
Kepler-334 b;-1;0.1;5.470319;61;-1
Kepler-334 c;-1;128;12.758005;107;-1
Kepler-334 d;-1;126;25.09849;168;-1
Kepler-335 b;-1;302;6.562331;75;-1
Kepler-335 c;-1;274;67.844469;356;-1
Kepler-336 b;-1;91;2.024823;33;-1
Kepler-336 c;-1;187;9.600001;92;-1
Kepler-336 d;-1;211;20.678772;154;-1
Kepler-337 b;-1;137;3.292781;45;-1
Kepler-337 c;-1;183;9.693201;93;-1
Kepler-338 b;-1;218;13.726976;117;-1
Kepler-338 c;-1;209;24.310856;172;-1
Kepler-338 d;-1;268;44.431014;257;-1
Kepler-339 b;-1;127;4.977656;55;-1
Kepler-339 c;-1;103;6.988055;69;-1
Kepler-339 d;-1;104;10.558345;91;-1
Kepler-34(AB)  b;0.2199288928;0.7636734119;288822;1.0896;0.182
Kepler-340 b;-1;226;14.844387;134;-1
Kepler-340 c;-1;301;22.824669;178;-1
Kepler-341 b;-1;105;5.195528;0.06;-1
Kepler-341 c;-1;152;8.01041;0.08;-1
Kepler-341 d;-1;165;27.666313;182;-1
Kepler-341 e;-1;178;42.473269;242;-1
Kepler-342 b;-1;201;15.170318;128;-1
Kepler-342 c;-1;175;26.234138;185;-1
Kepler-342 d;-1;222;39.459357;242;-1
Kepler-343 b;-1;215;8.96855;88;-1
Kepler-343 c;-1;0.18;23.22182;167;-1
Kepler-344 b;-1;233;21.963945;153;-1
Kepler-344 c;-1;263;125.596809;488;-1
Kepler-345 b;-1;66;7.415563;66;-1
Kepler-345 c;-1;107;9.387427;77;-1
Kepler-346 b;-1;237;6.511127;71;-1
Kepler-346 c;-1;274;23.851549;168;-1
Kepler-347 b;-1;176;12.79836;0.11;-1
Kepler-347 c;-1;156;27.320871;183;-1
Kepler-348 b;-1;136;7.05677;76;-1
Kepler-348 c;-1;119;17.265427;138;-1
Kepler-349 b;-1;0.17;5.929778;65;-1
Kepler-349 c;-1;175;12.247629;105;-1
Kepler-35(AB) b;0.1267973445;0.7279877384;131458;0.60347;0.042
Kepler-350 b;-1;165;11.189562;104;-1
Kepler-350 c;0.0176;277;17849;-1;-1
Kepler-350 d;48;0.25;26136;-1;-1
Kepler-351 b;-1;273;37.054919;214;-1
Kepler-351 c;-1;285;57.24809;287;-1
Kepler-352 b;-1;77;10.05537;85;-1
Kepler-352 c;-1;111;16.332995;118;-1
Kepler-353 b;-1;79;5.795278;51;-1
Kepler-353 c;-1;123;8.410894;65;-1
Kepler-354 b;-1;164;5.47666;54;-1
Kepler-354 c;-1;117;16.934402;115;-1
Kepler-354 d;-1;111;24.209842;146;-1
Kepler-355 b;-1;0.13;11.03189;102;-1
Kepler-355 c;-1;242;25.762294;179;-1
Kepler-356 b;-1;0.14;4.612696;57;-1
Kepler-356 c;-1;161;13.121632;115;-1
Kepler-357 b;-1;164;6.475434;63;-1
Kepler-357 c;-1;238;16.85837;0.12;-1
Kepler-357 d;-1;306;49.499875;246;-1
Kepler-358 b;-1;243;34.060467;0.21;-1
Kepler-358 c;-1;254;83.488369;381;-1
Kepler-359 b;-1;315;25.563222;178;-1
Kepler-359 c;-1;384;57.68802;307;-1
Kepler-359 d;-1;358;77.095691;372;-1
Kepler-36 b;0.014032659;0.1320369918;13.83989;0.1153;-1
Kepler-36 c;0.0254149;0.3282;16.23855;0.1283;-1
Kepler-360 b;-1;147;3.289672;44;-1
Kepler-360 c;-1;187;7.186434;75;-1
Kepler-361 b;-1;129;8.486616;86;-1
Kepler-361 c;-1;225;55.188023;0.3;-1
Kepler-362 b;-1;79;10.327186;87;-1
Kepler-362 c;-1;129;37.866281;207;-1
Kepler-363 b;-1;103;3.614568;48;-1
Kepler-363 c;-1;151;7.542427;79;-1
Kepler-363 d;-1;183;11.932125;107;-1
Kepler-364 b;-1;138;25.745718;178;-1
Kepler-364 c;-1;192;59.980627;312;-1
Kepler-365 b;-1;182;10.664903;98;-1
Kepler-365 c;-1;146;17.784129;137;-1
Kepler-366 b;-1;0.13;3.281959;45;-1
Kepler-366 c;-1;0.16;12.51616;0.11;-1
Kepler-367 b;-1;116;37.815724;201;-1
Kepler-367 c;-1;107;53.578637;253;-1
Kepler-368 b;-1;291;26.84768;186;-1
Kepler-368 c;-1;346;72.379334;0.36;-1
Kepler-369 b;-1;101;2.732756;0.03;-1
Kepler-369 c;-1;126;14.871572;94;-1
Kepler-37 b;0.0087468143;0.0285485388;13.367308;0.1003;-1
Kepler-37 c;0.0314633609;0.0669106377;21.301886;0.1368;-1
Kepler-37 d;0.0383853003;0.1730755162;39.792187;0.2076;-1
Kepler-370 b;-1;142;4.57953;54;-1
Kepler-370 c;-1;0.17;19.02293;0.14;-1
Kepler-371 b;-1;169;34.763278;0.2;-1
Kepler-371 c;-1;159;67.968015;313;-1
Kepler-372 b;-1;121;6.849692;75;-1
Kepler-372 c;-1;186;20.053763;154;-1
Kepler-372 d;-1;151;30.092568;201;-1
Kepler-373 b;-1;121;5.535309;0.06;-1
Kepler-373 c;-1;111;16.725948;126;-1
Kepler-374 b;-1;92;1.897806;29;-1
Kepler-374 c;-1;98;3.282807;42;-1
Kepler-374 d;-1;117;5.028219;56;-1
Kepler-375 b;-1;129;12.125934;101;-1
